question,answer
What is the rule for employment of near relatives of the employees in any corporation or firm enjoying patronage of the corporation?,"a.    No employee shall use his/her position or influence directly or indirectly to secure employment for any person related whether by blood or marriage to the employee or to the employee’s wife or husband; whether such a person is dependent on the employee or not. b.   No employee shall, except with the previous sanction of the Competent Authority permit his/her son, daughter or any member of the family to accept employment with any Company or firm with which he has official dealings, or with any Company or firm, having official dealings with the Corporation c.    No employee shall in the discharge of his/her official duties deal with any matter or give or sanction any contract to any Company or firm or any other person if any member of his/her family is employed in that Company or firm."
What is the rule for employment of near relatives of the employees in any corporation or firm enjoying patronage of the corporation?,"a.    No employee shall use his/her position or influence directly or indirectly to secure employment for any person related whether by blood or marriage to the employee or to the employee’s wife or husband; whether such a person is dependent on the employee or not. b.   No employee shall, except with the previous sanction of the Competent Authority permit his/her son, daughter or any member of the family to accept employment with any Company or firm with which he has official dealings, or with any Company or firm, having official dealings with the Corporation c.    No employee shall in the discharge of his/her official duties deal with any matter or give or sanction any contract to any Company or firm or any other person if any member of his/her family is employed in that Company or firm."
What is the rule for employment of near relatives of the employees in any corporation or firm enjoying patronage of the corporation?,"a.    No employee shall use his/her position or influence directly or indirectly to secure employment for any person related whether by blood or marriage to the employee or to the employee’s wife or husband; whether such a person is dependent on the employee or not. b.   No employee shall, except with the previous sanction of the Competent Authority permit his/her son, daughter or any member of the family to accept employment with any Company or firm with which he has official dealings, or with any Company or firm, having official dealings with the Corporation c.    No employee shall in the discharge of his/her official duties deal with any matter or give or sanction any contract to any Company or firm or any other person if any member of his/her family is employed in that Company or firm."
What is the rule for employment of near relatives of the employees in any corporation or firm enjoying patronage of the corporation?,"a.    No employee shall use his/her position or influence directly or indirectly to secure employment for any person related whether by blood or marriage to the employee or to the employee’s wife or husband; whether such a person is dependent on the employee or not. b.   No employee shall, except with the previous sanction of the Competent Authority permit his/her son, daughter or any member of the family to accept employment with any Company or firm with which he has official dealings, or with any Company or firm, having official dealings with the Corporation c.    No employee shall in the discharge of his/her official duties deal with any matter or give or sanction any contract to any Company or firm or any other person if any member of his/her family is employed in that Company or firm."
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
What is the definition of Public Servant under DMRC Conduct Discipline and Appeal Rules?,"‘Public Servant’ shall mean and include a person, as mentioned in Section 21 of Indian Penal Code, or, Section 2(28) of Bharatiya Nyaya Sanhita, 2023, as applicable, or, as amended from time to time"
What is the definition of Public Servant under DMRC Conduct Discipline and Appeal Rules?,"‘Public Servant’ shall mean and include a person, as mentioned in Section 21 of Indian Penal Code, or, Section 2(28) of Bharatiya Nyaya Sanhita, 2023, as applicable, or, as amended from time to time"
What is the definition of Public Servant under DMRC Conduct Discipline and Appeal Rules?,"‘Public Servant’ shall mean and include a person, as mentioned in Section 21 of Indian Penal Code, or, Section 2(28) of Bharatiya Nyaya Sanhita, 2023, as applicable, or, as amended from time to time"
What is the maximum value of the gift in the case of Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Executives which has to be reported to the Competent Authority is Rs. 25000/-.
What is the maximum value of the gift in the case of Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Executives which has to be reported to the Competent Authority is Rs. 25000/-.
What is the maximum value of the gift in the case of Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Executives which has to be reported to the Competent Authority is Rs. 25000/-.
What is the maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority is Rs. 15000/-.
What is the maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority is Rs. 15000/-.
What is the maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority is Rs. 15000/-.
"Where are the Disciplinary Authority, Appellate Authority and Reviewing Authority notified?","The Disciplinary Authority, Appellate Authority and Reviewing Authority, for each grade, has been defined in the Rule 41 along-with the Schedule – A of the DMRC Conduct Discipline and Appeal Rules."
"Where are the Disciplinary Authority, Appellate Authority and Reviewing Authority notified?","The Disciplinary Authority, Appellate Authority and Reviewing Authority, for each grade, has been defined in the Rule 41 along-with the Schedule – A of the DMRC Conduct Discipline and Appeal Rules."
"Where are the Disciplinary Authority, Appellate Authority and Reviewing Authority notified?","The Disciplinary Authority, Appellate Authority and Reviewing Authority, for each grade, has been defined in the Rule 41 along-with the Schedule – A of the DMRC Conduct Discipline and Appeal Rules."
In what conditions an employee of DMRC can be placed under Suspension?,a.    Where Disciplinary proceedings against him/her is contemplated or is pending or b.   Where a case against him/her in respect of any criminal offence is under investigation or trial.
In what conditions an employee of DMRC can be placed under Suspension?,a.    Where Disciplinary proceedings against him/her is contemplated or is pending or b.   Where a case against him/her in respect of any criminal offence is under investigation or trial.
In what conditions an employee of DMRC can be placed under Suspension?,a.    Where Disciplinary proceedings against him/her is contemplated or is pending or b.   Where a case against him/her in respect of any criminal offence is under investigation or trial.
When is a Subsistence Allowance given?,At the time of Suspension
"How much is the Subsistence Allowance paid when paid under suspension, initially?",50% of Basic Pay
Under what circumstances Subsistence Allowances is not payable?,"Deemed Suspension, till the time employee is in custody."
Under what circumstances Subsistence Allowances is not payable?,"Deemed Suspension, till the time employee is in custody."
Under what circumstances Subsistence Allowances is not payable?,"Deemed Suspension, till the time employee is in custody."
What are Minor Penalties which can be imposed on an employee?,"a.  Censure b.   Withholding of his/her promotion c.    Recovery from his/her pay of the whole or part of any pecuniary loss caused by him/her to the Corporation by negligence or breach of orders d.   Reduction to a lower stage in the time-scale of pay by one stage for a period not exceeding three years, without cumulative effect and not adversely affecting his/her terminal benefits. e.    Withholding of increments of pay"
What are Minor Penalties which can be imposed on an employee?,"a.  Censure b.   Withholding of his/her promotion c.    Recovery from his/her pay of the whole or part of any pecuniary loss caused by him/her to the Corporation by negligence or breach of orders d.   Reduction to a lower stage in the time-scale of pay by one stage for a period not exceeding three years, without cumulative effect and not adversely affecting his/her terminal benefits. e.    Withholding of increments of pay"
What are Major Penalties which can be imposed on an employee?,"a.   [save as provided for in clause 40.1(iv)] Reduction to a lower stage in the time-scale of pay for a specified period, with further directions as to whether or not the employee will earn increments of pay during the period of such reduction and whether on the expiry of such period, the reduction will or will not have the effect of postponing the future increments of his/her pay; b.   Reduction to a lower time-scale of pay, grade, post or service, with or without further directions regarding conditions of restoration to the grade or post or service from which the DMRC employee was reduced and his seniority and pay on such restoration to that grade, post or service; c.   Compulsory Retirement; d.   Removal from service which shall not be a disqualification for future employment under the Government or PSUs; e.    Dismissal from service which shall ordinarily be a disqualification for future employment under the Government or PSUs."
What are Major Penalties which can be imposed on an employee?,"a.   [save as provided for in clause 40.1(iv)] Reduction to a lower stage in the time-scale of pay for a specified period, with further directions as to whether or not the employee will earn increments of pay during the period of such reduction and whether on the expiry of such period, the reduction will or will not have the effect of postponing the future increments of his/her pay; b.   Reduction to a lower time-scale of pay, grade, post or service, with or without further directions regarding conditions of restoration to the grade or post or service from which the DMRC employee was reduced and his seniority and pay on such restoration to that grade, post or service; c.   Compulsory Retirement; d.   Removal from service which shall not be a disqualification for future employment under the Government or PSUs; e.    Dismissal from service which shall ordinarily be a disqualification for future employment under the Government or PSUs."
What is the time limit for charged official to submit his/her written statement of defence on charge sheet?,"The charged official may submit his/her written statement of defence within such time period, as may be specified by the Disciplinary Authority, not exceeding 15 days."
What is the time limit for charged official to submit his/her written statement of defence on charge sheet?,"The charged official may submit his/her written statement of defence within such time period, as may be specified by the Disciplinary Authority, not exceeding 15 days."
What is the time limit for charged official to submit his/her written statement of defence on charge sheet?,"The charged official may submit his/her written statement of defence within such time period, as may be specified by the Disciplinary Authority, not exceeding 15 days."
What is the time limit for charged official to submit his/her written statement of defence on charge sheet?,"The charged official may submit his/her written statement of defence within such time period, as may be specified by the Disciplinary Authority, not exceeding 15 days."
What are common proceedings?,"Where two or more employees are concerned in a case, the authority competent to impose a major penalty on all such employees may make an order directing that disciplinary proceedings against all of them may be taken in a common proceedings and the specified authority may function as the disciplinary authority for the purpose of such common proceedings."
"The Order of the Disciplinary Authority can be challenged, before whom?","The Appellate Authority, as defined under Rule 50 of the DMRC Conduct Discipline and Appeal Rules."
"The Order of the Disciplinary Authority can be challenged, before whom?","The Appellate Authority, as defined under Rule 50 of the DMRC Conduct Discipline and Appeal Rules."
"The Order of the Disciplinary Authority can be challenged, before whom?","The Appellate Authority, as defined under Rule 50 of the DMRC Conduct Discipline and Appeal Rules."
Is there any time-limit to file an appeal against the Order of the Disciplinary Authority?,An appeal shall be preferred within one month from the date of communication of the order appealed against. The appeal shall be addressed to the Appellate Authority specified in the schedule and submitted to the authority whose order is appealed against. The Authority whose order is appealed against shall forward the appeal together with its comments and the records of the case to the Appellate Authority within 15 days.
Is there any time-limit to file an appeal against the Order of the Disciplinary Authority?,An appeal shall be preferred within one month from the date of communication of the order appealed against. The appeal shall be addressed to the Appellate Authority specified in the schedule and submitted to the authority whose order is appealed against. The Authority whose order is appealed against shall forward the appeal together with its comments and the records of the case to the Appellate Authority within 15 days.
Is there any time-limit to file an appeal against the Order of the Disciplinary Authority?,An appeal shall be preferred within one month from the date of communication of the order appealed against. The appeal shall be addressed to the Appellate Authority specified in the schedule and submitted to the authority whose order is appealed against. The Authority whose order is appealed against shall forward the appeal together with its comments and the records of the case to the Appellate Authority within 15 days.
"In how much time, the Appeal is to be decided?",The Appellate Authority shall consider whether the findings are justified or whether the penalty is excessive or inadequate and pass appropriate orders within three months of the date of appeal.
"In how much time, the Appeal is to be decided?",The Appellate Authority shall consider whether the findings are justified or whether the penalty is excessive or inadequate and pass appropriate orders within three months of the date of appeal.
"In how much time, the Appeal is to be decided?",The Appellate Authority shall consider whether the findings are justified or whether the penalty is excessive or inadequate and pass appropriate orders within three months of the date of appeal.
In what manner can the Appellate Authority decide the Appeal?,"The Appellate Authority may pass order confirming, enhancing, reducing or setting aside the penalty or remitting the case to the authority which imposed the penalty or to any other authority with such direction as it may deem fit in the circumstances of the case."
In what manner can the Appellate Authority decide the Appeal?,"The Appellate Authority may pass order confirming, enhancing, reducing or setting aside the penalty or remitting the case to the authority which imposed the penalty or to any other authority with such direction as it may deem fit in the circumstances of the case."
In what manner can the Appellate Authority decide the Appeal?,"The Appellate Authority may pass order confirming, enhancing, reducing or setting aside the penalty or remitting the case to the authority which imposed the penalty or to any other authority with such direction as it may deem fit in the circumstances of the case."
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
Night duty allowance is payable as per the Basic Pay or Pay Scale of the employee?,"The Non-executive employees of O&M who perform roster duty in O&M, performing night duty will be given allowance as per Pay-scale. S. N. 1 2 3 4 5 6 7 8"
How is Partial Night Duty allowance calculated for Train Operators?,Partial Night Duty to Train Operators- It is strictly on the basis of reporting timing recordedfor ‘sign on’ and ‘sign off’ and the rates is as under: Sign Off After 2200 to 2300 hrs After 2301 to 2400 hrs After 2401 hrs
How is Partial Night Duty allowance calculated for Train Operators?,Partial Night Duty to Train Operators- It is strictly on the basis of reporting timing recordedfor ‘sign on’ and ‘sign off’ and the rates is as under: Sign Off After 2200 to 2300 hrs After 2301 to 2400 hrs After 2401 hrs
How is Partial Night Duty allowance calculated for Train Operators?,Partial Night Duty to Train Operators- It is strictly on the basis of reporting timing recordedfor ‘sign on’ and ‘sign off’ and the rates is as under: Sign Off After 2200 to 2300 hrs After 2301 to 2400 hrs After 2401 hrs
How is Partial Night Duty allowance calculated for Train Operators?,Partial Night Duty to Train Operators- It is strictly on the basis of reporting timing recordedfor ‘sign on’ and ‘sign off’ and the rates is as under: Sign Off After 2200 to 2300 hrs After 2301 to 2400 hrs After 2401 hrs
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is Consolidated Daily Allowance (CDA)?,The officers and staff posted at project sites are eligible for CDA. Such officer and staff who are posted at corporate office etc. and are required to visit site on more than 15 working days in a month will also be eligible for CDA at par with site employees. HODs should strictly ensure the same while recommending the cases for CDA. The rates of CDA are as under w.e.f. 01.12.2019: - S. N. 1 2 3 4 5 6
What is paid for Working Beyond Office Hours?,"In exigency of work and in inescapable situations only, the Non-Executive staff booked for Sundays/Holidays and for early coming or late going in normal working days, will be entitled for conveyance and refreshment. S. N. 1 2"
What is paid for Working Beyond Office Hours?,"In exigency of work and in inescapable situations only, the Non-Executive staff booked for Sundays/Holidays and for early coming or late going in normal working days, will be entitled for conveyance and refreshment. S. N. 1 2"
What is paid for Working Beyond Office Hours?,"In exigency of work and in inescapable situations only, the Non-Executive staff booked for Sundays/Holidays and for early coming or late going in normal working days, will be entitled for conveyance and refreshment. S. N. 1 2"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
"What is the reimbursement limit of expenses for Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department who are using their personal vehicle for official purpose.","The Executives who are eligible for a vehicle as per the existing transport policy of the company and are posted at Metro Bhavan, NBCC, Ashoka Road Office, and are not required to visit site frequently as well as officers of Finance department posted at site and officers of O&M department can use their personal vehicle for official purpose against the reimbursement of expenses as detailed below: - Level ED/CGM/ SGM /GM (AC 2000 Kms) CGM/ SGM /GM (AC 2000 Kms) JGM/AGM/Sr.AGM (Non-AC 1500 Kms) DGM/Sr.DGM (Non-AC 1500 Kms) Manager & AM (Non-AC 3000 Kms on twin sharing basis)"
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What are the present DA rates?,"When the employees of the corporation proceed on tour for duties outside and are required to be away beyond the municipal/city limits, then they are entitled to be compensated by payment of daily allowance at the rates indicated below. If any employee, while on tour makes his own arrangement for his stay and foregoes his entitlement of Hotel stay, he/she will be paid a Composite DA, which will be 50% more than the normal DA applicable for that station. Organization DA Rates (A 1 cities) If free breakfast is availed by the employee while on tour, DA shall be reduced by 25%, if all three meals are availed then DA shall be reduced by 50% of the entitlement."
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
